18禁	18禁 🔞
本真友里	本真友里 本真ゆり
本科生	本科生 👨‍🎓 👩‍🎓
朱古力	朱古力 🍫 朱古力 🍫️
朱古力圈	朱古力圈 🍩️
朱古力棒	朱古力棒 🍫 朱古力棒 🍫️
朱古力餅	朱古力餅 🍪️
朱雀	朱雀 🐦‍🔥
朱音唯	朱音唯 朱音ゆい
机器人	机器人 🤖 机器人 🤖 🦾 🦿
机智	机智 [机智]
机械手臂	机械手臂 🦾
机械腿	机械腿 🦿
机械臂	机械臂 🦾
杂技	杂技 🤹‍♂️ 🤹‍ 🤹‍♀️ 🤹🏻‍♂️ 🤹🏼‍♂️ 🤹🏽‍♂️ 🤹🏾‍♂️ 🤹🏿‍♂️ 🤹🏻 🤹🏼 🤹🏽 🤹🏾 🤹🏿 🤹🏻‍♀️ 🤹🏼‍♀️ 🤹🏽‍♀️ 🤹🏾‍♀️ 🤹🏿‍♀️
杂耍	杂耍 🤹‍♂️ 🤹‍♀️
杖	杖 🦯
条	条 🀐 🀑 🀒 🀓 🀔 🀕 🀖 🀗 🀘
条城	条城 🏯️
条子	条子 👮🏻
条子女	条子女 👮🏻‍♀️
条子男	条子男 👮🏻‍♂️
条形图	条形图 📊
来一根	来一根 🚬
来一根儿	来一根儿 🚬
来信	来信 📨 来信 📨️
来电	来电 📲 来电 📲
来郵件	来郵件 📨️
杧	杧 🥭
杧果	杧果 🥭
杯	杯 🫗
杯子	杯子 🥛 杯子 🍵 🍷 🫗
杯式蛋糕	杯式蛋糕 🧁
杰洛特	杰洛特 Geralt
東亞人	東亞人 🧓🏻 🧑🏻 🧒🏻 👶🏻
東亞人女	東亞人女 👵🏻 👩🏻 👧🏻
東亞人男	東亞人男 👴🏻 👨🏻 👦🏻
東京	東京 🗻️
東加	東加 🇹🇴
東帝汶	東帝汶 🇹🇱
東正教	東正教 ☦️
松下纱荣子	松下纱荣子 松下紗栄子
松了一口气	松了一口气 😌
松了口气	松了口气 😌
松井优子	松井优子 松井優子
松冈千菜	松冈千菜 松岡ちな
松口气	松口气 😌
松本一香	松本一香 松本いちか
松本梨穗	松本梨穗 松本梨穂
松本菜奈实	松本菜奈实 松本菜奈実
松树	松树 🌲 松树 🌲️ 松树 🌲 🎄 🎍
松鼠	松鼠 🐿 松鼠 🐿️ 松鼠 🐿
板儿砖	板儿砖 🧱
板儿鞋	板儿鞋 👟
板札	板札 🙌🏻️
板栗	板栗 🌰 板栗 🌰️
板球	板球 🏏 板球 🏏️ 板球 🏏
板球拍	板球拍 🏏
板球棒	板球棒 🏏️
板砖	板砖 🧱
板车	板车 🛴 🛵
板鞋	板鞋 👟
析取	析取 ∨
林由奈	林由奈 林ゆな
果	果 🍏 🍎 🍐 🍊 🍋 🍌 🍉 🍇 🍓 🫐 🍈 🍒 🍑 🍍 🥝 🥑 🥥 🥭
果冻	果冻 🍮
果嶺	果嶺 ⛳️
果汁	果汁 🧃 果汁 🍹️ 🧃
果汁盒	果汁盒 🧃
果酒	果酒 🍸️
果饮	果饮 🍹
枝	枝 🌿️
枝条	枝条 🌿️
枢木葵	枢木葵 枢木あおい
枪	枪 🔫 ▄︻┻┳═一…… (╬ﾟдﾟ)▄︻┻┳═一 ▄︻┻┳═一……☆（>○<） ▄︻┻┳═一∵∴∷∶∵(∵_,∵)>>>>
枫可怜	枫可怜 楓カレン 田中柠檬 田中レモン
枫叶	枫叶 🍁 枫叶 🍁
枫树叶	枫树叶 🍁
枫芙爱	枫芙爱 楓ふうあ
枫花恋	枫花恋 楓カレン 田中柠檬 田中レモン
枯木	枯木 🪾
枯树	枯树 🪾
枯萎	枯萎 🥀 枯萎 🥀 枯萎 🥀
枯萎的玫瑰	枯萎的玫瑰 🥀
枯萎的花	枯萎的花 🥀
枯葉	枯葉 🍂️
架乃由罗	架乃由罗 架乃ゆら
架子鼔	架子鼔 🥁
柊木枫	柊木枫 柊木楓
柏木小夏	柏木小夏 柏木こなつ
柏树	柏树 🌳️
某人	某人 👤️
柑橘	柑橘 🍊 柑橘 🍊️
柔道	柔道 🤼🏻 柔道 🥋
柔道女	柔道女 🤼🏻‍♀️
柔道服	柔道服 🥋
柔道男	柔道男 🤼🏻‍♂️
柚月亚衣	柚月亚衣 柚月あい
柚木蒂娜	柚木蒂娜 柚木ティナ
柠檬	柠檬 🍋 柠檬 🍋
查德	查德 🇹🇩
查找	查找 🔍️ 查找 🔍 🔎
柬埔寨	柬埔寨 🇰🇭 柬埔寨 🇰🇭 柬埔寨 🇰🇭
柬埔寨王国	柬埔寨王国 🇰🇭
柱形图	柱形图 📊
柱状图	柱状图 📊
柴	柴 🪵
柺杖	柺杖 🩼
柿子	柿子 🍅
标准	标准 ⊖ ⦵
标志	标志 ㍻ ㍼ ㍽ ㍾ ㋿ ㍿ ✆ ☏ 〒 〶 〠 ☢ ☣ ☠ ♲ ♳ ♴ ♵ ♶ ♷ ♸ ♹ ♺ ♻ ♼ ♽ ♾ ℠ $ € ¥ ¢ £ ₽ ₨ ₩ ฿ ₺ ₮ ₱ ₭ ₴ ₦ ৲ ৳ ૱ ௹ ﷼ ₹ ₲ ₪ ₡ ₫ ៛ ₵ ₢ ₸ ₤ ₳ ₥ ₠ ₣ ₰ ₧ ₯ ♩ ♪ ♫ ♬ ♭ ♮ ♯
标签	标签 🏷 标签 🏷
标签页	标签页 📑
标语	标语 🪧 标语 🪧
标语牌	标语牌 🪧
树	树 🌳 树 🌲️ 🌳️ 树 🌳 🌴 🌲 🎄 🎍 🌱
树叶	树叶 🍃
树懒	树懒 🦥 树懒 🦥
树懒先生	树懒先生 🦥
树懶	树懶 🦥
树木	树木 🌳 树木 🌲️
树枝	树枝 🌿️
树獺	树獺 🦥
树苗	树苗 🌱️ 树苗 🌱
树袋熊	树袋熊 🐨 树袋熊 🐨️ 树袋熊 🐨
栗	栗 🌰️
栗子	栗子 🌰 栗子 🌰️ 栗子 🌰
栗宫双叶	栗宫双叶 栗宮ふたば
栗山莉绪	栗山莉绪 栗山莉緒
校巴	校巴 🚍️
校车	校车 🚍️
株	株 ㊑ ㈱
株式会社	株式会社 ㍿
核子	核子 ⚛️
核子彈	核子彈 ☢️
核子能	核子能 ⚛️
核彈	核彈 ☢️
核武器	核武器 ☢️
核突	核突 🤢 🤮
核能	核能 ⚛️
核輻射	核輻射 ☢️
核辐射	核辐射 ☢️
核電	核電 ⚛️
根号	根号 √ ∛ ∜ 根号 √
根尾明里	根尾明里 根尾あかり
根西	根西 🇬🇬
根西岛	根西岛 🇬🇬
格子旗	格子旗 🏁
格子饼	格子饼 🧇
格尺	格尺 📏
格恩濟	格恩濟 🇬🇬
格斗	格斗 🤼‍♂️ 🤼‍♀️
格林納达	格林納达 🇬🇩
格林纳达	格林纳达 🇬🇩 格林纳达 🇬🇩
格瑞那达	格瑞那达 🇬🇩
格陵兰	格陵兰 🇬🇱 格陵兰 🇬🇱
格陵蘭	格陵蘭 🇬🇱
格魯吉亞	格魯吉亞 🇬🇪
格鲁吉亚	格鲁吉亚 🇬🇪 格鲁吉亚 🇬🇪
桃	桃 🍑 桃 🍑️ 桃 🍑
桃乃木香奈	桃乃木香奈 桃乃木かな
桃园怜奈	桃园怜奈 桃園怜奈
桃子	桃子 🍑 桃子 🍑
桃尻香名芽	桃尻香名芽 桃尻かなめ
桃濑友梨奈	桃濑友梨奈 桃瀬友梨奈
桃花	桃花 🌸️
桃谷绘里香	桃谷绘里香 桃谷エリカ
桌球	桌球 🎱️
桌遊	桌遊 🎴️
桌遊卡	桌遊卡 🎴️
桐谷茉莉	桐谷茉莉  桐谷まつり
桑拿	桑拿 🧖‍♂️ 🧖‍♀️ 桑拿 🧖🏻 桑拿‍ 🧖‍♀ 🧖 🧖‍♂ 🧖🏻‍♂️ 🧖🏼‍♂️ 🧖🏽‍♂️ 🧖🏾‍♂️ 🧖🏿‍♂️ 🧖🏻 🧖🏼 🧖🏽 🧖🏾 🧖🏿 🧖🏻‍♀️ 🧖🏼‍♀️ 🧖🏽‍♀️ 🧖🏾‍♀️ 🧖🏿‍♀️
桑拿女	桑拿女 🧖🏻‍♀️
桑拿男	桑拿男 🧖🏻‍♂️
桥	桥 🌉 桥 🌉
桥本有菜	桥本有菜 橋本ありな 新有菜 新ありな
桶	桶 🪣 桶 🪣 🛢 🗑
梁龙	梁龙 🦕
梅	梅 🀢
梅利利亚	梅利利亚 🇪🇦 梅利利亚 🇪🇦
梅花	梅花 ♣️ 梅花 ♣️ 🌸️ 梅花 ♣ ♧ 🀢
梅花鹿	梅花鹿 🦌
梅赛德斯	梅赛德斯 Mercedes
梅赛德斯-奔驰	梅赛德斯-奔驰 Mercedes-Benz
梓光莉	梓光莉 梓ヒカリ
梟	梟 🦉
梦乃爱华	梦乃爱华 夢乃あいか
梦实香苗	梦实香苗 夢実かなえ
梦见露	梦见露 夢见るぅ
梨	梨 🍐 梨 🍐️ 梨 🍐
梨子	梨子 🍐
梯	梯 🪜 梯 🪜
梯子	梯子 🪜 梯子 🪜 梯子 🪜
梯度	梯度 ∇ gradient
梯形	梯形 ⏢
梳	梳 🪮
梳子	梳子 🪮 梳子 🪮
梵蒂冈	梵蒂冈 🇻🇦 梵蒂冈 🇻🇦
梵蒂冈城国	梵蒂冈城国 🇻🇦
梵蒂岡	梵蒂岡 🇻🇦
梵鈴	梵鈴 🎻️
检查护照	检查护照 🛂
棍網球	棍網球 🥍
棒	棒 👍 棒 👍🏻️ 💯️ 🤩 棒 o(￣▽￣)ｄ (๑•̀ㅂ•́)و✧ ㄟ(≧◇≦)ㄏ 👍 👍🏻 👍🏼 👍🏽 👍🏾 👍🏿
棒呆	棒呆 🤩
棒啊	棒啊 👍
棒棒	棒棒 👍
棒棒哒	棒棒哒 👍
棒棒的	棒棒的 👍
棒棒糖	棒棒糖 🍭 棒棒糖 🍭️ 棒棒糖 🍭
棒球	棒球 ⚾ 棒球 ⚾️ 棒球 ⚾
棒球帽	棒球帽 🧢
棕圓	棕圓 🟤
棕心	棕心 🤎 棕心 🤎
棕榈	棕榈 🌴 棕榈 🌴
棕榈树	棕榈树 🌴
棕櫚	棕櫚 🌴️
棕熊	棕熊 🐻️
棕色	棕色 🟤 🟫
棕色人种	棕色人种 🧓🏽 🧑🏽 🧒🏽 👶🏽
棕色人种女	棕色人种女 👵🏽 👩🏽 👧🏽
棕色人种男	棕色人种男 👴🏽 👨🏽 👦🏽
棕色心	棕色心 🤎
棕色的心	棕色的心 🤎
棕蘑菇	棕蘑菇 🍄‍🟫
棚屋	棚屋 🛖
森川玉绪	森川玉绪 森川玉緒
森林	森林 🌲️
森泽佳奈	森泽佳奈 森沢かな 饭冈佳奈子 飯岡かなこ
棺	棺 ⚰️
棺材	棺材 ⚰️ 棺材 ⚰️ 棺材 ⚰️ ⚱
椅	椅 💺️ 🪑
椅子	椅子 🪑 椅子 🪑 椅子 🪑 💺
植物	植物 🌲 🌳 🎄 🌵 🌴 🌱 🌿 ☘️ 🍀 🎍 🪴 🌾 🥬 🪻
椎名由奈	椎名由奈 椎名ゆな
椎名空	椎名空 椎名そら
椒盐卷饼	椒盐卷饼 🥨
椒鹽捲餅	椒鹽捲餅 🥨
椪柑	椪柑 🍊️
椰	椰 🥥
椰子	椰子 🥥 椰子 🥥
椰子果	椰子果 🥥
椰子树	椰子树 🌴️
椰汁	椰汁 🥥
椰肉	椰肉 🥥
椰蓉	椰蓉 🥥
椿莉香	椿莉香 椿りか
楓	楓 🍁️
楓葉	楓葉 🍁️
楔形文字	楔形文字 𐎠 𐎡 𐎢 𐎣 𐎤 𐎥 𐎦 𐎧 𐎨 𐎩 𐎪 𐎫 𐎬 𐎭 𐎮 𐎯 𐎰 𐎱 𐎲 𐎳 𐎴 𐎵 𐎶 𐎷 𐎸 𐎹 𐎺 𐎻 𐎼 𐎽 𐎾 𐎿 𐏀 𐏁 𐏂 𐏃 𐏈 𐏉 𐏊 𐏋 𐏌 𐏍 𐏎 𐏏 𐏐 𐏑 𐏒 𐏓 𐏔 𐏕
楪可怜	楪可怜 楪カレン
榔头	榔头 🔨️
榛子	榛子 🌰
槓鈴	槓鈴 🏋🏻️
槓鈴女	槓鈴女 🏋🏻‍♀️
槓鈴男	槓鈴男 🏋🏻‍♂️
槽耐	槽耐 🤮
標籤	標籤 🏷️ 📑️
模糊	模糊 🫨
模里西斯	模里西斯 🇲🇺
横	横 一 横 一
横宫七海	横宫七海 横宮七海
横山	横山 彐
横折	横折 𠃍
横折钩	横折钩 𠃌
樱井彩	樱井彩 桜井彩
樱井步	樱井步 桜井あゆ
樱井艾蜜莉	樱井艾蜜莉 桜井エミリ
樱心美	樱心美 桜ここみ
樱木优希音	樱木优希音 桜木優希音
樱木凛	樱木凛 桜木凛
樱桃	樱桃 🍒 樱桃 🍒
樱由罗	樱由罗 さくらゆら
樱空桃	樱空桃 桜空もも
樱花	樱花 🌸 樱花 🌸
樽	樽 🏺️
橄榄	橄榄 🫒 橄榄 🫒
橄榄球	橄榄球 🏈 🏉 橄榄球 🏈 🏉
橄欖	橄欖 🫒
橄欖枝	橄欖枝 🕊️
橄欖球	橄欖球 🏉️
橘子	橘子 🍊 橘子 🍊️ 橘子 🍊
橘心	橘心 🧡 橘心 🧡
橘猫	橘猫 🐈
橘玛丽	橘玛丽 橘メアリー
橘色	橘色 🟠 🟧 橘色 🟧
橘色书本	橘色书本 📙
橘色大菱形	橘色大菱形 🔶
橘色小菱形	橘色小菱形 🔸
橘色心	橘色心 🧡
橘色的书	橘色的书 📙
橘色的心	橘色的心 🧡
橘色菱形	橘色菱形 🔶
橘黄	橘黄 🟧
橘黄色	橘黄色 🟠 🟧 橘黄色 🟧
橘黄色大菱形	橘黄色大菱形 🔶
橘黄色小菱形	橘黄色小菱形 🔸
橘黄色菱形	橘黄色菱形 🔶
橙	橙 🟧
橙圓	橙圓 🟠
橙子	橙子 🍊️ 橙子 🍋‍🟩
橙心	橙心 🧡 橙心 🧡
橙色	橙色 🟠 🟧 橙色 🟧
橙色书本	橙色书本 📙
橙色大菱形	橙色大菱形 🔶
橙色小菱形	橙色小菱形 🔸
橙色心	橙色心 🧡
橙色的书	橙色的书 📙
橙色的心	橙色的心 🧡
橙色菱形	橙色菱形 🔶
機器人	機器人 🤖️
機器腿	機器腿 🦿
機器臂	機器臂 🦾
機械	機械 ⚙️ 🔩 ⛏️ 🛠️ ⚒️ 🔨 🔧 ⛓️ 🧰 🪒 🪚 🪛 🪜 🪡
機械腿	機械腿 🦿
機械臂	機械臂 🦾
機灵	機灵 😉️
機长	機长 🧑🏻‍✈️
機长女	機长女 👩🏻‍✈️
機长男	機长男 👨🏻‍✈️
橡胶果实	橡胶果实 幻兽种·人人果实·尼卡（太阳神）形态
檔案	檔案 🗃️
檔案夾	檔案夾 📁️
檔案櫃	檔案櫃 🗄️
檔案盒	檔案盒 🗃️
檔案箱	檔案箱 🗃️
檔案袋	檔案袋 🗂️
檢察	檢察 🧐
檯曆	檯曆 📆️
檯球	檯球 🎱️
檸檬	檸檬 🍋️
櫻桃	櫻桃 🍒️
櫻花	櫻花 🌸️
次幂	次幂 ^ ² ³ ⁴ ⁵ ⁶ ⁷ ⁸ ⁹
次方	次方 ^ ² ³ ⁴ ⁵ ⁶ ⁷ ⁸ ⁹
欢庆	欢庆 🍾
欢迎	欢迎 (＾∀＾)／欢迎＼(＾∀＾)
欣慰	欣慰 🥲 欣慰 (╯▽╰)
欧	欧 ㏀ ㏁
欧元	欧元 € 💶 欧元 💶 €
欧元钞票	欧元钞票 💶
欧姆	欧姆 ㏀ ㏁
欧式城堡	欧式城堡 🏰
欧洲	欧洲 🌍
欧洲地球仪	欧洲地球仪 🌍
欧洲城堡	欧洲城堡 🏰
欧洲联盟	欧洲联盟 🇪🇺
欧洲邮局	欧洲邮局 🏤
欧洲非洲	欧洲非洲 🌍
欧洲非洲地球仪	欧洲非洲地球仪 🌍
欧盟	欧盟 🇪🇺 欧盟 🇪🇺
欧非地球仪	欧非地球仪 🌍
歌廳	歌廳 🪩
歌手	歌手 👨‍🎤 👩‍🎤 歌手 🧑🏻‍🎤 歌手 👨‍🎤 🧑‍🎤 👩‍🎤 👨🏻‍🎤 👨🏼‍🎤 👨🏽‍🎤 👨🏾‍🎤 👨🏿‍🎤 🧑🏻‍🎤 🧑🏼‍🎤 🧑🏽‍🎤 🧑🏾‍🎤 🧑🏿‍🎤 👩🏻‍🎤 👩🏼‍🎤 👩🏽‍🎤 👩🏾‍🎤 👩🏿‍🎤
歌手女	歌手女 👩🏻‍🎤
歌手男	歌手男 👨🏻‍🎤
歌星	歌星 🧑🏻‍🎤
歌星女	歌星女 👩🏻‍🎤
歌星男	歌星男 👨🏻‍🎤
歌舞廳	歌舞廳 🪩
歌记号	歌记号 〽️
歎号	歎号 ❕️ ❗️
歎問号	歎問号 ⁉️
歐元	歐元 💶️
歐圓	歐圓 💶️
歐洲	歐洲 🌍️
歐盟	歐盟 🇪🇺
歡呼	歡呼 🙋🏻 🥳
歡呼女	歡呼女 🙋🏻‍♀️
歡呼男	歡呼男 🙋🏻‍♂️
歡慶	歡慶 🎊️ 🙌🏻️
歡迎	歡迎 🙋🏻
歡迎女	歡迎女 🙋🏻‍♀️
歡迎男	歡迎男 🙋🏻‍♂️
止血膠布	止血膠布 🩹
正	正 ✔️ 正 + ㊣
正三角	正三角 🔺
正中红心	正中红心 🎯️
正中靶心的飞镖	正中靶心的飞镖 🎯
正方形	正方形 ⬛ ⬜ 正方形 ☐ ▪ ▫ ◻ ◼ ◽ ◾ ⬛ ⬜ 🔶 🔷 🔸 🔹 💠 🔲 🔳 🟥 🟧 🟨 🟩 🟦 🟪 🟫
正无穷	正无穷 +∞
正比	正比 ∝
正比于	正比于 ∝
正确	正确 ⭕ ✅ ✔ 正确 ✔️ ✅ ☑ ✓ ✔ ⭕ √
正装	正装 👔️
正负	正负 ± ∓ 正负 ±
正负号	正负号 ±
正餐	正餐 🥘 🍜 🍲 🍛 🍝 🍱 🍚 🥗
武器	武器 ⚔️ 武器 🔫 🗡️ ⚔️ 🔪 🛡️ 🪓 🚀
武术服	武术服 🥋
武藤绫香	武藤绫香 武藤あやか
武術服	武術服 🥋
歪嘴	歪嘴 🤪
死亡	死亡 💀 ☠️
死定了	死定了 😠️ 😾️
死火山	死火山 🗻️
死猪	死豬 🐖️
残月	残月 🌒 🌘
残疾人	残疾人 🦽
殘月	殘月 🌘️
殘杖	殘杖 🩼
殘疾	殘疾 🧑🏻‍🦼 🧑🏻‍🦽
殘疾人	殘疾人 🧑🏻‍🦼 🧑🏻‍🦽
殘疾人女	殘疾人女 👩🏻‍🦼 👩🏻‍🦽
殘疾人男	殘疾人男 👨🏻‍🦼 👨🏻‍🦽
殘疾人設施	殘疾人設施 ♿️
殘疾女	殘疾女 👩🏻‍🦼 👩🏻‍🦽
殘疾男	殘疾男 👨🏻‍🦼 👨🏻‍🦽
殘陽	殘陽 🌇️
殭屍	殭屍 🧟
殭屍女	殭屍女 🧟‍♀️
殭屍男	殭屍男 🧟‍♂️
段	段 ¶ ⁋
段落	段落 ¶ ⁋
段落符号	段落符号 ¶
母	母 👩🏻️
母乳	母乳 🤱
母乳喂养	母乳喂养 🤱
母亲	母亲 👩
母女	母女 👩‍👧
母婴室	母婴室 🚼
母子	母子 👩‍👦
母羊	母羊 🐑
母親	母親 👩🏻️
母鸡	母雞 🐔️
毒蘑菇	毒蘑菇 🍄️
比	比 🆚 比 🆚️ 比 : / ：
比中指	比中指 🖕
比例	比例 4:3 16:9
比利时	比利时 🇧🇪 比利时 🇧🇪 比利时 🇧🇪
比利时王国	比利时王国 🇧🇪
比基尼	比基尼 👙 比基尼 👙️ 比基尼 👙
比心	比心 🫰 🫶 比心 🫰🏻 比心 🫰 🫶 (´▽`ʃ♡ƪ) 🫰🏻 🫰🏼 🫰🏽 🫰🏾 🫰🏿 🫶🏻 🫶🏼 🫶🏽 🫶🏾 🫶🏿
比心手势	比心手势 🫰 🫶
比愛心	比愛心 🫶🏻
比特币	比特币 ₿
比萨	比萨 🍕 比萨 🍕
比萨饼	比萨饼 🍕 比萨饼 🍕
比薩	比薩 🍕️
比赛	比赛 🆚
毕业	毕业 👨‍🎓 👩‍🎓
毕业帽	毕业帽 🎓
毛毛虫	毛毛虫 🐛 毛毛虫 🐛️ 毛毛虫 🐛
毛线	毛线 🧶 毛线 🧶 毛线 🧶
毛线团	毛线团 🧶
毛线球	毛线球 🧶
毛虫	毛虫 🐛
毛象	毛象 🦣
毛里塔尼亚	毛里塔尼亚 🇲🇷 毛里塔尼亚 🇲🇷
毛里塔尼亚伊斯兰共和国	毛里塔尼亚伊斯兰共和国 🇲🇷
毛里塔尼亞	毛里塔尼亞 🇲🇷
毛里求斯	毛里求斯 🇲🇺 毛里求斯 🇲🇺 毛里求斯 🇲🇺
毛里求斯共和国	毛里求斯共和国 🇲🇺
毫克	毫克 ㎎
毫秒	毫秒 ms millisecond
毫米	毫米 ㎜ 毫米 mm millimeter
氂牛	氂牛 🦬
民主剛果	民主剛果 🇨🇩
民国	民国 🇹🇼
民工	民工 👷🏻
民工女	民工女 👷🏻‍♀️
民工男	民工男 👷🏻‍♂️
民警	民警 👮🏻
民警女	民警女 👮🏻‍♀️
民警男	民警男 👮🏻‍♂️
气人	气人 😡 😠
气旋	气旋 🌀
气泡	气泡 🫧 气泡 🫧 气泡 🫧
气泡酒	气泡酒 🍾️
气炸	气炸 🤯
气球	气球 🎈 气球 🎈️ 气球 🎈
气象	气象 ☀️ 🌤️ ⛅️ 🌦️ 🌥️ ☁️ 🌨️ 🌧️ 🌩️ ⛈️ ❄️ 💨 🌪️ 🌫️ 🌊
气餒	气餒 🙁️
氢氧化亚铁	氢氧化亚铁 Fe(OH)₂
氢氧化钙	氢氧化钙 Ca(OH)₂
氢氧化钠	氢氧化钠 NaOH
氢氧化钡	氢氧化钡 Ba(OH)₂
氢氧化钾	氢氧化钾 KOH
氢氧化铁	氢氧化铁 Fe(OH)₃
氢氧化铜	氢氧化铜 Cu(OH)₂
氢氧化铝	氢氧化铝 Al(OH)₃
氢氧化铵	氢氧化铵 NH₄OH
氢氧化锂	氢氧化锂 LiOH
氢氧化镁	氢氧化镁 Mg(OH)₂
氧化亚铁	氧化亚铁 FeO
氧化亚铜	氧化亚铜 Cu₂O
氧化钠	氧化钠 Na₂O
氧化钡	氧化钡 BaO
氧化钾	氧化钾 K₂O
氧化铁	氧化铁 Fe₂O₃
氧化铅	氧化铅 PbO
氧化铜	氧化铜 CuO
氧化铝	氧化铝 Al₂O₃
氧化银	氧化银 Ag₂O
氧化镁	氧化镁 MgO
氨水	氨水 NH₃·H₂O
氫彈	氫彈 ☢️
氯化亚铁	氯化亚铁 FeCl₂
氯化氢	氯化氢 HCl
氯化钙	氯化钙 CaCl₂
氯化钠	氯化钠 NaCl
氯化钡	氯化钡 BaCl₂
氯化钾	氯化钾 KCl
氯化铁	氯化铁 FeCl₃
氯化铜	氯化铜 CuCl₂
氯化铝	氯化铝 AlCl₃
氯化铵	氯化铵 NH₄Cl
氯化银	氯化银 AgCl
氯化锌	氯化锌 ZnCl₂
氯化镁	氯化镁 MgCl₂
氯酸钾	氯酸钾 KClO₃
水	水 💧️ 水 ㊌ ㈬ 💧 🚰 水 💦 H₂O
水卜樱	水卜樱 水卜さくら
水原美园	水原美园 水原みその
水岛津实	水岛津实 水嶋あずみ
水川堇	水川堇 水川スミレ 水稀美里 水稀みり 百多えみり
水戰	水戰 🔫️
水户香奈	水户香奈 水戸かな
水拔子	水拔子 🪠
水族館	水族館 🐳️
水无濑优夏	水无濑优夏 みなせ優夏
水晶球	水晶球 🔮 水晶球 🔮️ 水晶球 🔮
水果	水果 🍏 🍎 🍐 🍊 🍋 🍌 🍉 🍇 🍓 🫐 🍈 🍒 🍑 🍍 🥝 🥑 🥥 🥭
水果刀	水果刀 🔪
水果蛋糕	水果蛋糕 🍰
水果饮料	水果饮料 🍹
水枪	水枪 🔫
水桶	水桶 🪣 水桶 🪣 水桶 🪣
水槍	水槍 🔫️
水母	水母 🪼 水母 🪼 水母 🪼
水泽乃乃	水泽乃乃 水沢のの
水滴	水滴 💦 💧 水滴 💧️ 水滴 💧
水牛	水牛 🐃 水牛 🐃️ 水牛 🐃
水獭	水獭 🦦 水獭 🦦
水獺	水獺 🦦
水珠	水珠 💦 💧
水球	水球 🤽‍♂️ 🤽‍♀️ 水球 🤽🏻 水球 🤽‍♂️ 🤽 🤽‍♀️ 🤽🏻‍♂️ 🤽🏼‍♂️ 🤽🏽‍♂️ 🤽🏾‍♂️ 🤽🏿‍♂️ 🤽🏻 🤽🏼 🤽🏽 🤽🏾 🤽🏿 🤽🏻‍♀️ 🤽🏼‍♀️ 🤽🏽‍♀️ 🤽🏾‍♀️ 🤽🏿‍♀️
水球女	水球女 🤽🏻‍♀️
水球男	水球男 🤽🏻‍♂️
水瓶座	水瓶座 ♒ 水瓶座 ♒️ 水瓶座 ♒
水稀美里	水稀美里 水稀みり 水川堇 水川スミレ 百多えみり
水稻	水稻 🌾 水稻 🌾
水筆	水筆 🖋️
水管工	水管工 👨‍🔧 👩‍🔧
水蜜桃	水蜜桃 🍑️
水部	水部 氵
水野朝阳	水野朝阳 水野朝陽
水餃	水餃 🥟
水饺	水饺 🥟
水龙头	水龙头 🚰 水龙头 🚰️ 水龙头 🚰
永井玛利亚	永井玛利亚 永井マリア
永濑唯	永濑唯 永瀬ゆい
永野司	永野司 永野つかさ
求	求 🥹 求 🥺 🥹 (っ´Ι`)っ
求你了	求你了 🥺 🙏
求和	求和 ∑ 求和 ∑
求婚戒	求婚戒 💍
求救	求救 🆘 求救 🆘️ 求救 🆘
求救信号	求救信号 🆘
求救讯号	求救讯号 🆘
求求	求求 🥺
求求你	求求你 🥺 🙏 求求你 🥺
求求你了	求求你了 🥺 🙏
求积	求积 ∏
汇率	汇率 💱
汉堡	汉堡 🍔 汉堡 🍔
汉堡包	汉堡包 🍔
汐世	汐世 有栖花绯 有栖花あか
汗	汗 😅 😰 😓 汗 😓️ 😢️ 😥️ 😿️ 汗 [汗] 😓 💦 Σ(°△°|||)︴ (\"▔□▔) (￢д￢。) (lll￢ω￢) |(*′口`)
汗水	汗水 💦
汗滴	汗滴 💧
汗衫	汗衫 👕
汙染	汙染 🏭️ 😷️
江豚	江豚 🐡️
污渍	污渍 🫟
汤	汤 🥣 汤 🥣
汤加	汤加 🇹🇴 汤加 🇹🇴
汤加王国	汤加王国 🇹🇴
汤勺	汤勺 🥄
汤匙	汤匙 🥄 汤匙 🥄
汤圆	汤圆 ⚪
汤碗	汤碗 🥣
汶萊	汶萊 🇧🇳
汽水	汽水 🥤
汽艇	汽艇 🛥️
汽车	汽车 🚗 🚘 汽车 🚗 🚕 🚙 🚌 🚎 🏎️ 🚓 🚑 🚒 🚐 🚚 🚛 🎢 🛻 🚔 🚍 🚘 🚖 🛺 汽车 🚗 🚕 🚙 🚌 🚎 🏎 🚓 🚑 🚒 🚐 🚚 🚛 🚔 🚍 🚘 🚖
汽车尾气	汽车尾气 💨
沉默	沉默 😶
沐浴	沐浴 🛁️
沐浴乳	沐浴乳 🧴
沐浴露	沐浴露 🧴 沐浴露 🧴
沒了	沒了 😖️
沒事的	沒事的 🤗️
沒問題	沒問題 👌🏻️
沒想好	沒想好 😕️
沒意思	沒意思 😞️ 😴️
沒戲	沒戲 😔️ 🙂‍↔️
沒有新郵件	沒有新郵件 📬️
沒有郵件	沒有郵件 📪️
沒眼看	沒眼看 🙈️
沒睡醒	沒睡醒 😵‍💫
沒聽看	沒聽看 🙉️
沒臉见人	沒臉见人 🙈️
沒興趣	沒興趣 😌️
沒说	沒说 🙊️
沒錢	沒錢 💸️
沒錢了	沒錢了 💸️
